iso,country,category,value
ZWE,TBD,Facebook,1
DEU,TBD,Facebook,1
LBR,TBD,Facebook,1
HUN,TBD,Facebook,1
MWI,TBD,Facebook,1
SOM,TBD,Facebook,1
AND,TBD,Facebook,1
TWN,TBD,Facebook,1
NIU,TBD,Facebook,1
PAN,TBD,Facebook,1
PER,TBD,Facebook,1
NZL,TBD,Facebook,1
BLM,TBD,Facebook,1
CHE,TBD,Facebook,1
TON,TBD,Facebook,1
NAM,TBD,Facebook,1
UKR,TBD,Facebook,1
CAN,TBD,Facebook,1
RUS,TBD,Facebook,1
ERI,TBD,Facebook,1
LBN,TBD,Facebook,1
ALB,TBD,Facebook,1
GAB,TBD,Facebook,1
GEO,TBD,Facebook,1
MNE,TBD,Facebook,1
LTU,TBD,Facebook,1
HTI,TBD,Facebook,1
SVK,TBD,Facebook,1
LIE,TBD,Facebook,1
GIB,TBD,Facebook,1
REU,TBD,Facebook,1
PRI,TBD,Twitter,1
TGO,TBD,Twitter,1
URY,TBD,Twitter,1
VCT,TBD,Twitter,1
MAF,TBD,Twitter,1
TLS,TBD,Twitter,1
PCN,TBD,Twitter,1
SPM,TBD,Twitter,1
NFK,TBD,Twitter,1
SLV,TBD,Twitter,1
BDI,TBD,Twitter,1
VAT,TBD,Twitter,1
BGR,TBD,Twitter,1
AFG,TBD,Twitter,1
COK,TBD,Twitter,1
CYP,TBD,Twitter,1
AUT,TBD,Twitter,1
CZE,TBD,Twitter,1
GUF,TBD,Twitter,1
LAO,TBD,Twitter,1
GHA,TBD,Twitter,1
GIN,TBD,Twitter,1
SWZ,TBD,Twitter,1
GUM,TBD,Twitter,1
BLR,TBD,Twitter,1
GUY,TBD,Twitter,1
QAT,TBD,Twitter,1
STP,TBD,Youtube,1
IDN,TBD,Youtube,1
ATG,TBD,Youtube,1
BRB,TBD,Youtube,1
BLZ,TBD,Youtube,1
BEN,TBD,Youtube,1
TCD,TBD,Youtube,1
COM,TBD,Youtube,1
MAR,TBD,Youtube,1
MUS,TBD,Youtube,1
ROU,TBD,Youtube,1
COL,TBD,Youtube,1
MTQ,TBD,Youtube,1
JAM,TBD,Youtube,1
JOR,TBD,Youtube,1
MSR,TBD,Youtube,1
MKD,TBD,Youtube,1
AIA,TBD,Youtube,1
NGA,TBD,Youtube,1
NPL,TBD,Youtube,1
NLD,TBD,Youtube,1
NRU,TBD,Youtube,1
LSO,TBD,Youtube,1
SGP,TBD,Youtube,1
SYR,TBD,Youtube,1
ASM,TBD,Youtube,1
TUN,TBD,Youtube,1
TUV,TBD,Youtube,1
UGA,TBD,Youtube,1
BFA,TBD,Youtube,1
EST,TBD,Youtube,1
AGO,TBD,Youtube,1
ARG,TBD,Youtube,1
CAF,TBD,Youtube,1
BGD,TBD,Youtube,1
CPV,TBD,Youtube,1
COD,TBD,Youtube,1
CRI,TBD,Youtube,1
CUB,TBD,Youtube,1
ETH,TBD,Youtube,1
SUR,TBD,Youtube,1
AUS,TBD,Youtube,1
MAC,TBD,Youtube,1
MCO,TBD,Youtube,1
BHS,TBD,Youtube,1
NIC,TBD,Youtube,1
EGY,TBD,Youtube,1
PSE,TBD,Youtube,1
NER,TBD,Youtube,1
MMR,TBD,WhatsApp,1
ESH,TBD,WhatsApp,1
BRA,TBD,WhatsApp,1
ATA,TBD,WhatsApp,1
FIN,TBD,WhatsApp,1
CHN,TBD,WhatsApp,1
ECU,TBD,WhatsApp,1
BWA,TBD,WhatsApp,1
CHL,TBD,WhatsApp,1
FRO,TBD,WhatsApp,1
FJI,TBD,WhatsApp,1
FLK,TBD,WhatsApp,1
FSM,TBD,WhatsApp,1
PYF,TBD,WhatsApp,1
LVA,TBD,WhatsApp,1
FRA,TBD,WhatsApp,1
GMB,TBD,WhatsApp,1
LBY,TBD,WhatsApp,1
IRQ,TBD,WhatsApp,1
ITA,TBD,WhatsApp,1
GRC,TBD,WhatsApp,1
TTO,TBD,WhatsApp,1
KOR,TBD,WhatsApp,1
CIV,TBD,WhatsApp,1
IND,TBD,WhatsApp,1
ISR,TBD,WhatsApp,1
KWT,TBD,WhatsApp,1
TCA,TBD,WhatsApp,1
GLP,TBD,WhatsApp,1
ALA,TBD,WhatsApp,1
KIR,TBD,WhatsApp,1
MNG,TBD,WhatsApp,1
SRB,TBD,WhatsApp,1
JPN,TBD,WhatsApp,1
KEN,TBD,WhatsApp,1
MLI,TBD,WhatsApp,1
MRT,TBD,WhatsApp,1
MLT,TBD,WhatsApp,1
OMN,TBD,WhatsApp,1
MNP,TBD,WhatsApp,1
MOZ,TBD,Telegram,1
MDV,TBD,Telegram,1
ZMB,TBD,Telegram,1
JEY,TBD,Telegram,1
NOR,TBD,Telegram,1
SAU,TBD,Telegram,1
PAK,TBD,Telegram,1
SVN,TBD,Telegram,1
SLE,TBD,Telegram,1
GNB,TBD,Telegram,1
KNA,TBD,Telegram,1
PNG,TBD,Telegram,1
TKM,TBD,Telegram,1
SDN,TBD,Telegram,1
TZA,TBD,Telegram,1
TUR,TBD,Telegram,1
SWE,TBD,Telegram,1
VEN,TBD,Telegram,1
THA,TBD,Telegram,1
TJK,TBD,Telegram,1
TKL,TBD,Telegram,1
VNM,TBD,Telegram,1
YEM,TBD,Telegram,1
ARE,TBD,Telegram,1
PLW,TBD,Telegram,1
MHL,TBD,Telegram,1
SHN,TBD,Telegram,1
SMR,TBD,Telegram,1
SJM,TBD,Telegram,1
DMA,TBD,Telegram,1
WSM,TBD,Telegram,1
GRD,TBD,Telegram,1
GTM,TBD,Telegram,1
LCA,TBD,Telegram,1
