label,category,value
English,Pages,0.32
English,Speakers,0.222
Chinese,Pages,0.18
Chinese,Speakers,0.205
Spanish,Pages,0.08
Spanish,Speakers,0.091
French,Pages,0.065
French,Speakers,0.056
German,Pages,0.038
German,Speakers,0.031
Russian,Pages,0.035
Russian,Speakers,0.05
Portuguese,Pages,0.035
Portuguese,Speakers,0.04
Japanese,Pages,0.035
Japanese,Speakers,0.034
Arabic,Pages,0.03
Arabic,Speakers,0.042
Hindi,Pages,0.03
Hindi,Speakers,0.039
Malay,Pages,0.025
Malay,Speakers,0.026
Polish,Pages,0.018
Polish,Speakers,0.017
Korean,Pages,0.014
Korean,Speakers,0.014
Bengali,Pages,0.013
Bengali,Speakers,0.015
Italian,Pages,0.011
Italian,Speakers,0.009
Urdu,Pages,0.007
Urdu,Speakers,0.008
