iso,country,value
USA,TBD,299846449
DMA,TBD,67827
WSM,TBD,183845
GRD,TBD,105237
GRL,TBD,57475
GTM,TBD,12709564
COG,TBD,3609851
BHR,TBD,724788
BMU,TBD,64174
IMN,TBD,78357
BVT,TBD,0
DNK,TBD,5416945
DJI,TBD,804206
LUX,TBD,456613
HKG,TBD,7057418
IRL,TBD,4143294
GNQ,TBD,484098
SLB,TBD,472419
CMR,TBD,17795149
WLF,TBD,15079
BEL,TBD,10398049
BRN,TBD,373831
KHM,TBD,13955507
CCK,TBD,0
DOM,TBD,9469601
CYM,TBD,45591
SYC,TBD,85532
MYT,TBD,0
LCA,TBD,16124
ZWE,TBD,13119679
DEU,TBD,82652369
LBR,TBD,3441796
HUN,TBD,10086387
ISL,TBD,295732
MWI,TBD,13226091
SOM,TBD,8196395
AND,TBD,73483
TWN,TBD,0
NIU,TBD,1632
PAN,TBD,3231502
PER,TBD,27274266
NZL,TBD,4097112
BLM,TBD,0
GGY,TBD,0
CHE,TBD,7424389
TON,TBD,99361
NAM,TBD,2019677
UKR,TBD,46917544
CAN,TBD,32270507
RUS,TBD,143953092
ERI,TBD,4526722
BOL,TBD,9182015
LBN,TBD,401074
ALB,TBD,3153731
GAB,TBD,1290693
GEO,TBD,4473409
MNE,TBD,607969
LTU,TBD,3425077
HTI,TBD,9296291
SVK,TBD,5386995
LIE,TBD,34598
GIB,TBD,291
REU,TBD,785159
PRI,TBD,3946779
TGO,TBD,6238572
VGB,TBD,22016
URY,TBD,3325727
VCT,TBD,119137
ANT,TBD,186392
MAF,TBD,0
TLS,TBD,1067285
PCN,TBD,5
SPM,TBD,6346
NFK,TBD,0
SLV,TBD,6668356
BDI,TBD,7858791
VAT,TBD,783
BGR,TBD,7744591
AFG,TBD,25067407
COK,TBD,13984
CYP,TBD,836321
AUT,TBD,8291979
CZE,TBD,10191762
GUF,TBD,192099
LAO,TBD,566391
GHA,TBD,2253501
GIN,TBD,9002656
SWZ,TBD,1124529
GUM,TBD,16857
BLR,TBD,9795287
GUY,TBD,739472
HRV,TBD,455149
QAT,TBD,796186
ESP,TBD,43397491
STP,TBD,152622
IDN,TBD,226063044
ATG,TBD,83039
BRB,TBD,291933
BLZ,TBD,275546
BIH,TBD,3915238
BEN,TBD,8490301
BTN,TBD,637013
TCD,TBD,10145609
COM,TBD,797902
MAR,TBD,30494991
MUS,TBD,1241173
ROU,TBD,21627557
COL,TBD,4494579
MTQ,TBD,395896
JAM,TBD,2682469
JOR,TBD,5544066
MSR,TBD,5628
MKD,TBD,2033655
ABW,TBD,102897
AIA,TBD,12256
MDA,TBD,3876661
NGA,TBD,141356083
NPL,TBD,27093656
NLD,TBD,1632769
NRU,TBD,10111
PRY,TBD,5904342
LSO,TBD,1980831
